,Negative_reviews
1971,"i am a big fan of vlc since a long long time from pc to mobile i was never much comfortable with any player other than this in using mobile to watch shows but unfortunately after the last update subtitles arent downloading and its really frustrating please solve this issue as soon as possible :  
"
1972,"no video on my android device  :  
"
1973,"when you swipe left or right to go backward or forward in a video then vlc skips for first few swipes and after that doesnt skip no matter how many times you swipe also in swiping backwards vlc pauses for one swipe then unpause for next swipe then pauses for next swipe then unpause for next and so on this pauseresume is happening a lot in swiping backwards and sometimes happening in swiping forward too fix this rest is good till now i saw only these issues :  
"
1974,"poor it will play videos and them stop its annoying :  
"
1975,"have tried downloading this app many time without numbers but the problem is that it wont display the video but the audio is working underneath maybe you should update it to a newer version that will suite all devices cos i cant keep wasting my data on one app namaste  :  
"
1976,"the app is fantastic i havent experienced any problem :  
"
1977,"this app sucks it doesnt load the newly added videosand the other flaw is that the subtitle needs to be selected again and again when the app is reopened :  
"
1978,"the latest update removed so many important features like aspect ratio playback speed subtitles etc that were available on the player now you have to press the 3 dots and then use these features bring those features back also the aspect ratio is not working properly i was watching a 11 video but aspect ratio was setting only to 169 43 189 etc the best fit set to 169 when the video is 11 so fix the aspect ratio love vlc but these things have to be fixed :  
"
1979,"i just loved this app it was perfect and could open almost every media file with it but it all ended with the last update now it takes like an hour to load files and to make it worse now occupies an unjustified ammount of space in my phone memory slowing it down i think that a lot of us would like to fix this error because phone memory is sometimes limited :  
"
1980,"latest update screwed everything up for example if i switch to another app from vlc and then go back the font is set to small this problem came with the latest update quitting and restarting the app fixes it the app was fine the way it was now there are plyaback errors the interface sucks assa roll back update will be great :  
"
1981,"latest update had caused bugs  :  
"
1982,"repeat doesnt work correctly   :  
"
1983,"youtube videos wont play through vlc network stream anymore it tries to load and then stops in an instant however it still plays dailymotion video streams can the technical team please resolve this issue in reference to youtube :  
"
1984,"l need to extract file and make snapshots :  
"
1985,"it works the first time i install it then the next time nothing just a blank screen has to do with the sd storage location only works in internal storage :  
"
1986,"this latest update really screwed things up a lot of things didnt work with the last update and its worst than the previous version i was unable to connect through smb to my computers anymore to play video files on my android tv but after some researching i found the way to resolve this is to install smb10cifs file sharing support on my laptop on turn windows features onoff however selecting subtitle file doesnt work as it asks to play the subtitle idx file as audio file and selecting it stop the video playback the group and sorting system on the previous version was much better than this latest update :  
"
1987,"one of the best media player and it is free and foss and without ads the only problem i have is about advancedcomplex ass subtitles that dont animate correctly eg in karaoke style fansubs in animes oped other than that its great mpv also freefoss has a better subtitle support but a much simplerworse interface with less features :  
"
1988,"dont worry anymore i installed mx player works great previously when are you going to fix this why is the freakin volume bar coming up when you only want to swipe right to forward a video a bit or when you pause once and started playing the video again then if you swipe right to forward it then the video pauses what the hell :  
"
1989,"i cant put in a paragraph how much i love the vlc play :  
"
1990,"unable to open loaded documents :  
"
1991,"latest update broke usability vlc was my favorite app on my cars android gps system it now cant read folders properly grabbing incomplete directory results that randomly change on every load thumbnails no longer fully load extremely sluggish stalls for minutes my biggest pet peeve the solid white icon bg for an app that claims to support dark mode nothing like a blinding white light on the dashboard the vlc icon while driving at night had to switch to mx pro after this update :  
"
1992,"generally it works very well but every time there is a software update it forgets all my media and deletes all of my saved playlists which is extremely annoying as i have to create them from scratch every time doesnt seem to let you save the playlists anywhere separate from the live memory so it is flawed :  
"
1993,"this works with pretty much any media type and has loads of different options aswell i use it on all the devices i use media on and since my phone is always on me vlc for android and i have gotten to know each other quite well the feature i wasnt expecting but loved was the pop up sized player it really helps to be able to actually use my phonetablet while watching a movie or listening to music vlc on the pc was always installed on my computers when i was younger and now i get why :  
"
1994,"the last update was the worst ive ever seen in any app huge ugly icons for playlists userunfriendly interface after the update my playlists turned empty thats right like with 0 media files in them the app is constantly refreshing to identify new media files yet it doesnt actually recognize any of my new mp3s i would pay the devs to do humanity a favor and roll back the update :  
"
1995,"not working for hd videos      :  
"
1996,"great music app with adequate rendering for lossless files playlist reordering could be more user friendly it needs upscaling for videos 480p dvd quality looks worse on my laptop than on my old tube tv :  
"
1997,"i wouldnt prefer any other video player than this i mean the pop up feature increased vol and so many cool stuff its a really good app :  
"
1998,"the latest update breaks so much its insane completely unusable on chromebook now just as i was getting used to the previous version this update surprised me with an untested trainwreck very disappointed ive always loved the windows version hope that one doesnt get broken too :  
"
1999,"love this app in the terms of video format compatibility and playing quality and functions but it is very disappointing that the file sorting method is limited to by name only if other ways such asby date or by file type thus function has never never been added to any one of the updates :  
"
2000,"this would easily be a five star app if not for the issues that have surfaced ever since the recent ui updates on most phones now it drops everytime the screen goes off so unless you want your display screen on in company with this app both burning your battery simply to listen to your audio then you are better off with almost anything else sad being this was my favorite for years would come back if yhey could resolve current problems :  
"
2001,"whatever happened with the lastest update has rendered this app unusable upon opening the app it immediately starts scanning me media and freezes permanently ive restarted cleared cache cleared files uninstalled and reinstalled disabled media scanning nothing has worked used to use this daily cant use it at all now will give 5 starts if fixed :  
"
2002,"it works perfectly for playing any file but i cant give it 5 stars because of a glaring flaw it literally cannot find anything i can click on files in file explorer and it works perfectly but the second i actually go into the app it says it cant find anything playlists are now unusable :  
"
2003,"plays local device videos very well with minimal issues while browsing lan videos via windows smb shares it hangs for a good 3 4 mins before showing folder structure however once able to select a video it plays without issue would give 4 or 5 stars if it didnt have the lan shares issues which is the whole reason i downloaded it :  
"
2004,"i have 3013 and it has a well known defectiit doesnt shut downthats something a hostile program does not 1 that ive used and trusted since before apple was popularand no mention of it in the fixed area i suppose its time to move on :  
"
2005,"it not ply well mkv video the audio n video not in order :  
"
2006,"rubbish why make updates that make siftware worse :  
"
2007,"i used this app for many years it was great until i updated it this week and it went nuts it wont download subtitles in my smart tv  :  
"
2008,"i used to like this player since i could play ts file videos with vlc but now it wont even play a single damn ts video file after the updates please fix this :  
"
2009,"always start play media at somewhere else stupid app :  
"
2010,"now this update is worse than what you guys had the previous version is a lot better i cant get grid view for my videos the new look while watching video is lame bad you cant just select play video as audio you cant sort videos by date added and the one for music is giving me in the wrong way :  
"
2011,"after the update videos now echosplease fix :  
"
2012,"this app has had really irritating problems for years and i cannot even figure a way they havent have fixed if any of the developers are actually using it sometimes videos will loop back to a certain point in the video when theyre finished without the ab loop being turned on in any perceivable way sometimes it wont auto play the next item on a list sometimes it will always play a media from a certain point when starting it yet it doesnt properly save the last play location upon leaving :  
"
2013,"i dont like that the title of videos slide across the tile if the video has really long name then you will have to wait a while for the first letters of the title to slide back into view allow us to disable this in settings the double tap duration bug was fixed in the previous version and another that pauses video when you swipe back was introduced :  
"
2014,"sends me on average 7 notifications a day yes seven i havent even used the app for months had to uninstall because as it turns out there is no way to shut it off not even a force stop works :  
"
2015,"just please improve the subtitles optionsometimes it can not find the subtitlessome kind of errorjust fix this please then i can give 5 starthank you :  
"
2016,"well everyone is right this latest update sucks used it after the update and it only loaded 1 of the 20 albums i currently have on my phone and it wouldnt scan my directories to find them plus when browsing through said folders containing my music they were showing as empty so i was about to uninstall until i cleared the apps cache then hit the clear data button now once i restarted vlc it scanned and found all my music and videos havent looked at any other features yet :  
"
2017,"great but search option doesnt work well it doesnt include all folders though the option has been selected in settings :  
"
2018,"when playing mp4 files great mkv on the other hand bad any mkv format higher than 240p doesnt play perfect audio delay and video freezes could you fix that :  
"
2019,"my previous rating was 5 stars but since the app was updated to version 3 and higher a lot of bugs keep coming up the app used to work perfectly but then started to close my videos every time i flipped the screen to portrait or landscape now the issue has been fixed but the viseo file now stutters when flipping orientation also the background play ia buggy if you pause the video wgile in background from the lockscreeb widget and tou want to resume after 5min the app crashes :  
"
2020,"its really mindblowing video player i like it very much but this player all time creat a problem such as i cant change a music videoswhen i am watching a video :  
"
2021,"before the update i loved this program now im thinking of uninstalling there was nothing wrong with it i liked the folders the way they where and now this list no dont like it some people might like this and some dont why dont you put out a version for those who liked it before and leave it then have this one and update it how ever you like it i know im just complaining and venting but hell just saying how i feel at this moment :  
"
2022,"main menu for videos is not so good :  
"
2023,"no its not no it cant read the m3u8 file type  :  
"
2024,"subtitles are not accurate     :  
"
2025,"i installed it good for reading mp4 and stuff but it didnt recognize my sd card i dont know what happened but after installing it i didnt have access to the sd card on the whole device android i had to uninstall it for me to regain access to sd card in other apps :  
"
2026,"great but what happened with this last update a lot of people are very unhappy myself included media library folders setting just changed and now only has options for my internal media and external not allowing to remove select directories or to select a specific directory for the media library :  
"
2027,"no sort video by date          :  
"
2028,"not casting 8 april 2020 the app is cool but the cast icon doesnt show anymore not working with my chromecast or roku and when i mirror screen the audio has been off :  
"
2029,"i am sorry to rate 1 starbut you guys made me feel bad when i have to hold on to subtitle delay for minutes to get a 20sec delaycant you just do something like mx player does i am going back to mx playersorry :  
"
2030,"there is a button which says got it this is a red line for me it should say dont show this message again ive uninstalled it :  
"
2031,"i dont know for sure if it is my oneplus 7t my huawei tab or my galaxy s7 but on my all 3 devices the audio is not syncing with the video i tried different videos same awful experience 2 years ago i was using normally but since then all the same im sorry but i will try another player rip vlc :  
"
2032,"vlc is a great media player but the file organization is much better on mx player thats why i still use that as my daily driver the sound quality of vlc is louder than mx player for some videos but whenever i watch a video or movie where i need subtitles i use mx player because it allows me to adjust the position of subtitle vlc should also add that feature its important :  
"
2033,"biggest issue is that it scans my directories every time and most of the time it isnt everything example one time a directory it found 200 media files next time 400 plus then next time 300 and this was all in the span of a minute after closing down the program 3 times getting really annoying since it had only happened since this newest update and there seems to be no way to disable this :  
"
2034,"this new update just sucks for me when the videos is group you can no longer sort the videos by date or anything else except name which is pretty bad for series lover more over the last playlist icon at the top right corner no longer work i hate this update i had to go search for previous version and download that :  
"
2035,"if it aint broke dont fix it the last update not only broke all my playlists but not when viewing an internet stream the fit screen and best fit option do not work properly in landscape mode i am on a samsung galaxy s6 please fix this everything was working just fine until the most recent update in november 2019 :  
"
2036,"why i cant play m4v format i used to play m4v format before why  :  
"
2037,"what is happening with the subtitle even on my desktop computer the subtitle is not working whenever i tried to download the subtitle and select the subtitle it always routed me on home page the latest update really sucks i better find another video player if this issue keeps on happening :  
"
2038,"subtitles arent downloading vlc get bugs when using video as audio only during skipping though its timeline try to do like pc version as i always admit it the best dont let my hope down :  
"
2039,"wss a great app since the last update it keeps giving an error that it cant access playlist file and it moves to the next entry please fix this :  
"
2040,"its a 5 5 rating but for gods sake remove the volume and brightness bar from the middle of the screen when we change the level it is totally annoying when we change the level of volume and brightness in the middle of the video put these percentage bars in the respective sides of the screen :  
"
2041,"i gave it 5 stars originally but now i cannot access any video on any servers on my local networks the servers are listed but when i click on any it never shows folders or files :  
"
2042,"have been using vlc for quite a while now and i have nothing but good experience my device is incomplete without vlc media player :  
"
2043,"in android box when using android tv ui the video with embedded subtitles didnt automatically used whe should go to subtitles option and choose embedded subtitles to activate the sub :  
"
2044,"was great before the last update now the video files are all jumbled when you click on one another different one opens some you can delete some you cannot video files are duplicated was perfect before why could you not just leave it alone  :  
"
2045,"latest update kinda sucks i cant double tap to playpause the video anymore i dont see the option for it in settings either i liked the orange background color to the icons on the video player interface better the new ui seems a little bit smoother but i aint really digging it :  
"
2046,"local network smb worked beautifully on 317 updated to 323 and the app just gets stuck on loading screen when trying to access local network thank goodness for apkmirror so i can revert back remind me to never update vlc ever old saying is true if it aint broke dont update it :  
"
2047,"no ads better than mx player   :  
"
2048,"weird glitch downloaded this for five minutes and then uninstalled because its playing 2second voice clips while im in other apps its very creepy to hear old voice messages playing on their own and then stopping this happened maybe 4 times then i decided to uninstall its 3 am too early for creepiness :  
"
2049,"best than mx player andno irritating ads :  
"
2050,"unable to sinc on internal storage :  
"
2051,"itll play anything you throw at it but the management of files and playlists and the ui in general is total trash its strangely buggy as though the developers dont even use their own stuff they probably dont they probably use a commandline interface or something :  
"
2052,"by far the best media player always used on laptop and android plays soo many formats just brilliant one downside i had with the last update on my phone was that the list of playlists are now icons and i cant get them back to a normal textlist cant find the setting for that anywhere :  
"
2053,"a whole lot more if it would play some music it wont do anything :  
"
2054,"5 star app rating for sure just lacking one important thing it needs the repeat ab function :  
"
2055,"please updated advance version like desktop vlc :  
"
2056,"ive been using it forever and now im disappointed it doesnt want to open and ive uninstalled for more then 5 times because i like the app so much please fix this problem :  
"
2057,"i have used vlc always but today m tying to download the app for an hour its not getting downloaded cancelling the download will try again tomorrow :  
"
2058,"unreliable audio does not work while chromecasting half the time and randomly stops playing the file throughout i have reinstalled this app several times hoping it has been updated but problem has been persistent for over 6 months it also seems to leave something saved in your hardware without your permission as somehow the files resume where theyve left off even after uninstalling and reinstalling :  
"
2059,"it only shows videos from a s but im sure i have videos that go well past the letter s it has to be a glitch of some sorts because whenever i want to see any video files that start with any letter past a s i would have to temporarily exit it then immediately return to it and the video files would eventually show up :  
"
2060,"preferred the older version cant download subtitles without crashing menu play pause subtitles next prev etc opens very slowly on 1 tap pressing anything soon after doesnt register at all you have to wait a bit press it so it can register 1 star just to get attention for fixes :  
"
2061,"after trying mx player i prefer the ads :  
"
2062,"just downloaded a movie by mistake that had an indian audio track vlc offers a chance to download a subtitle track but not audio tracks improve on that please :  
"
2063,"people this app works its great and wow its vlc ill copypaste my moviessongs straight to my phone and it works no worries if youve used vlc on pc youll know what to expect but yes this is legit and after having this for over 2 years on this pos old android now i can confirm i havent had a single problem with it if youre using a default media player do yourself a favour and start using this 1010 :  
"
2064,"the newest update is just awful parsing media now freezes midway and a lot of the videos on streaming no longer work not to mention the fact that it takes up way too much room i cant recommend this anymore because of these issues :  
"
2065,"this app really suck when it comes to playing videos on youtube :  
"
2066,"horrible day after i dl this app i tried using my mobile data thankfully i was paying attention to my usage or i would have been screwed someone found a back door through this app and was draining all of my data only thing i changed was using this app had to factory reset my phone yes i changes settings once dl to make sure it wasnt allowed to access data never again was awful :  
"
2067,"it was good till the latest update with my techno c9 i was able to swipe three fingers on the screen after locking the screen which took a screenshot but now even after locking the screen the screen shots appear with disorganisations like volume up down brightness down and up its like it wont lock the screen :  
"
2068,"simply not working useless     :  
"
2069,"ive had to download this and uninstall twice because there is some bug i open it and it doesnt show the ui it was working but the latest update did something :  
"
2070,"this has to be one of the best video players we have today if i could give a score of a 45 i would the only reason i am not giving 1010 is due to the fact that it does not support multitasking very well i would like it to minimize to a small window when i hit the home button to allow me to do something else :  
"
2071,"its a nice app but whenever subtitle is added manually the app just plays without one been able to go forwad or backward please do something :  
"
2072,"many time this app not work    :  
"
2073,"cant cast 24bit files flac to chromecast :  
"
2074,"i dont recall this app taking up so much room prior to the last update storing the data for my music takes nearly 3 gb now and sometimes songs do not appear on the list this used to work perfectly and now its more of a pain fix this soon :  
"
2075,"there is a bug in recent update :  
"
2076,"omg your update really messed my player and all my play listes what the hell are you thinking half the app does not work i like a detailed lists not thumbnails trying to add new music is jacked up the update so bad i uninstaled the new version and installed the older version from my app backup and set google play to never update this app :  
"
2077,"it was best player after update its just horrible uninstall :  
"
2078,"the cast option is gone        :  
"
2079,"i like vlc but the loading stuck in notifications has been an ongoing issue fixed in some builds broke in others :  
"
2080,"it was working for a while then it stopped accepting subtitles :  
"
2081,"undoubtedly it is the best video player but there is one thing that i think should be solved when i load a subtitle for a video and if i resize the video subtitle also resize with it which seems annoying to me i want to give 5 star  :  
"
2082,"really bad for videos while seeking back forward it sucksss audio video mismatch laggs like crazy while other dont i want to use this because it is opensource addfree but i am disappointed team videolabs please improve this update i downloaded vlc from videolan website it works flawlessly v323 there is some problem with play store version  :  
"
2083,"its a good app but when i download subtitles it downloads but doesnt show or save ive deleted and installed the app a hundred times just to see if its being fixed but nothing :  
"
2084,"i aint able to resume it using recent apps please fix asap :  
"
2085,"the pip mode isnt working on me :  
"
2086,"the new version is broken on nvidia shield you can play a few videos over smb network then you have to restart the shield otherwise all you get is a black screen it used to work so well :  
"
2087,"iv had vlc for years it was a great app until they updated it now its very hard to navigate before it was all on one screen now it seems to be miles long and the screen only has a 2 inch view of if long term usermx player is now better :  
"
2088,"i have used this app exclusively on my laptops for years and this did not disappoint on my 2nd smartphone in 5 years topnotch app for a samsung note 10 the versatility with the equalizer settings from base to treble is phenomenal well done vlc community 5 stars no ads whatsoever on this app :  
"
2089,"cant play resume video         :  
"
2090,"i would give it 5 starts if it didnt autostart on every boot and i have to force close the app contacted the developer and never got a response :  
"
2091,"the best video player unfortunately it has intrusive unwanted features :  
"
2092,"it was very amazing but this new update disrupted many functions for instance now i cant download subtitles folders but in the old version i had no problem downloading subtitles now i regret updating to the latest version of the app :  
"
2093,"plz help my vlc keeps on pausing when the screen turn off am using huawei y5 lite plz help :  
"
2094,"problem in cast screen         :  
"
2095,"hmm so much annoying things added to current version transparent background when double tap to seek ui not so vlc anymore bigger menu on go to chapters also performances much lighter on previous version so just decided to stuck on previous 317 thank you :  
"
2096,"fails on basic features for example a simple notification or focus change stops playback and starts the video from the beginning scrolling inside a video does not work so it is nearly impossible to watch a movie in a whole uninstalled :  
"
2097,"used this app for a while and it worked great for no reason it stopped working uninstalled it and installed another video player :  
"
2098,"logical setup plugplay every format ive ever used and simple set up make this app the only player to handle all needs that anyone would ever need and thats considering i have abd use the free portion not sure how much better it can be with whatever fee option available :  
"
2099,"this version of vlc doesnt open at all ive uninstalled and reinstalled twice it but instead of it to open it just goes blank i even restarted my phone but the results are just the same :  
"
2100,"autoplays when connected to bluetooth no way to turn off doesnt even play what i was previously watching :  
"
2101,"need video player try only vlc player :  
"
2102,"crashes if you close or minimise the app :  
"
2103,"vlc is my favourite player but it get me mad when ever i doenload a subtitle all i get is something else fake version of the subtitle you really need to work on that :  
"
2104,"it doesnt support external audio as mx player please add external audio support for video otherwise its my first choice :  
"
2105,"i used to love this app but the new updates screw everything up i cant delete the video from the app anymore as i always used to do before and i cant sort things by date before this new update i always sort things by date to watch my new downloaded videos why bother to update if its only downgrading your app :  
"
2106,"not feeling the latest update i can no longer delete videos which is super annoying plus i dont like how the videos are listed now as opposed to them previously being tiled please leave well enough alone :  
"
2107,"my favourite media player but the latest update really sucks it totally messed up everything please bring back the feature that enables one delete a video from the app also the resume playback option doesnt work any more since the update wish i could give zero stars to this update :  
"
2108,"the new upgrage version for android tv does not filter the music from storage on artist genre only on the folder classificarion like album which used to be present in the previous version a real inconvience to scroll through all album to find the required album even search doesnt filter very regressive :  
"
2109,"vlc has been great since ive been using it but the new releases have a problem with subtitles download it doesnt search automatically anymore and even after manual search it still doesnt download fix it :  
"
2110,"needs a few adjustments        :  
"
2111,"im not able to download subtitles please fix this asap :  
"
2112,"loved it very functional and met all my expectations for a musicvideo playerthat is until the latest update app lags esp during playback cant sort list by last added files everything was great before :  
"
2113,"there is no option to export a streaming created playlist as a m3u file so i can share it with others possible on pc version but isnt possible on mobile version sucks and theres also no option to rename the listing so dumb and we also are unable to copy the url of currently playing stream :  
"
2114,"the app is way too buggy the videos wont get deleted and should be closed and opened in order to delete it in order to import the files from internal storage the refresh option doesnt work vlc ws not like this before :  
"
2115,"this app not show all video of my phone :  
"
2116,"im not able to install this application its coming as error and i downloaded the same application from web there also its coming same problem im not able install android 10 oneplus 7 :  
"
2117,"forced app if you uninstall it will keep trying to update itself i find that rude and and invasion of my app space i even turned off auto update and it still forces it way through and stops and starts also this app is trash compared to spotify do yourself a favor and boycott this bloatware untill it is nolonger a stock addition to phones :  
"
2118,"will not play my file with subtitles at all shows a black screen for three seconds then goes back to the library :  
"
2119,"no option for next songuseless :  
"
2120," hangingfreezing 1080p 60fps videos does not start video from where i left last time always starts video from beginning :  
"
2121,"ive been using vlc for ages now you guys ruined it with the new ui updates now i need to click several times to change the screen sizeratio also wheres the option to sort the grouped videos by date modified it can only be sorted by name sorry but 1 star from me until it is fixed :  
"
2122,"what the hell is wrong with latest update that while playing any video audio is getting disturbed with a pause kindly get it fix because in previous version there was no such thing or just suggest me the way to degrade the version to the previous one :  
"
2123,"its was an amazing app especially with its dlna casting capabilities but with the latest update idk if its due to android 10 or what its not showing the option to cast using dlna now i have to do screen mirroring to play something on my smart tv instead of just dlna casting it using vlc please fix it :  
"
2124,"fairly standard video player control system isnt hugely intuitive and could do with improvement but its the parsing feature that really sucks it takes forever just to scan your phone for content and even then it rarely shows up in the app :  
"
2125,"all of a sudden when i stream from my nas it wants me to authenticate to every folderfile even if i choose to save the password not good it was outstanding until then :  
"
2126,"keeps buffering every time     :  
"
2127,"ui is ugly i dont like it but it support all codecs and you will never see an error and even you dont need to download extra codec extentions like mxplayer i mean it is more better than mxplayer and others :  
"
2128,"constantly crashes and shuts down i had to uninstall :  
"
2129,"it is best video player but i facing some problems with version on note 8if i install 3210 or any version of the application but it showing 199 version always :  
"
2130,"i like the app and its pc version it can play videos your device cant play on its own cant play video file it just fixes the problem and can also generate subtitles :  
"
2131,"even after leaving the beta the public version is still turning vlc media player scanning for files as soon as bluetooth is turned on :  
"
2132,"i have been using it for years its awesome however since some week theres a bug my new media audio are not scanned properly even if i try to rescan the folder it is not able to get the media i have to reinstall the app and then i can get the new media please fix this issue and i will rate it 5 stars ps i have a redmi note 4 phone :  
"
2133,"no one cares what i said huhpls fix the subtitles issue ive added the subtitles but it doesnt appear at all why i click the download subtitle also but not working when i select subtitle form sdinternal memory also not visible whyyy this issue happen dont you notice :  
"
2134,"it was better before i cant delete any file if i wanted to its always on the landscape mode the autorotation didnt work on it i dont why this is happening but it was far far better before than now :  
"
2135,"i love vlc i really do however we got this new bug where the app crashes everytime i try to download a subtitle and it annoys me because this feature is what made me love vlc for android even more when i first installed it anf now its not working  :  
"
2136,"it uses battery way too much than earlier :  
"
2137,"after the latest update i am not seeing playlist in vlc whereas it is visible in other media player no song is being displayed in the player further to it after latest update the screen simply rotates when the app is opened auto rotate is off and still the issue persists :  
"
2138,"it could be the best browser if it can sort serially as after episode 10 it directly comes to episode 1 and then to episode 11 which is very irritating plx fix this problem then i can give 5 stars for sure :  
"
2139,"mostly ok until ts files cant be played found solution in the windows pc version where it needs ffmpg something like that to be added in run app android ver still no solution same with mxplayer mi videos can run ts files but cant find here in playstore :  
"
2140,"very useful can access pc via samba but whenever i click on pause on the video interface the interface immediately disappears and the video interface is not so fast like in mx player i request you to show the interface for some seconds whether click on play or pause :  
"
2141,"it always cuts off the end of tracks abruptly the casting feature has no way to adjust the volume which is far too loud by default otherwise it could be a good app :  
"
2142,"whenever i switched a new window and return to vlc it stops and has to refind and restart the video no better ui than pc app eg timer control etc :  
"
2143,"should be stock best video player out there simple as that :  
"
2144,"dont have shuffle button lame  :  
"
2145,"would have given 5 star but the ts video files do not run so smoothly vlc please fix this problem :  
"
2146,"a nice fully featured music and video player with a good equalizer and decent playback controls such a shame that it doesnt cope well with large amounts of music i have about 6 000 files in total and the app just simply doesnt detect them after a certain point forcing me to use a more reliable app with less features blackplayer and yes this happens across multiple devices i own :  
"
2147,"ive been using vlc for so long so im very used to it but recently i changed my phone and could not upload an applicaton of it because of its big mb so i dont have a choice but to download another app and i was not happy and comfortable using the other applications vlc is still the best :  
"
2148,"i have used vlc on several computers for years and am quite happy with that application however on my android version 9 phone the player frequently begins to play a file without even me opeing the file additionally there is no way to shut it off without restarting the phone yet even then after 5 or 10 minutes it will start playing again without me opening the program i finally deleted the program from my phone to search for another until it is corrected :  
"
2149,"the widget does not work period first off you can use it to open the app when pressing the vlc logo but playback buttons non functional also it doesnt save your place or even what item you are playing in the widget so you have to go back to the app find what you were playing and manually select it every time it saves place on individual tracks but you need to press play on the album and skip forward to the track you want every time otherwise it will play one track and stop this is very simple stuff that needs to be fixed asap not recommended unfortunate because vlc has been my go to for years on the computer :  
"
2150,"overall great but 1 it would be good if it was possible to change the playback speed while watching a video with a gesture changing the brightness and volume is already possible 2 it would be good if the three vertical dots settings while playing a video were more informative why do the rectangle with vertical bar and the round arrow with dots underneath do what they do there is enough space there to provide a short description in text :  
"
2151,"cannot access any remote media sources on chromebook comparing it to the ui on ios the lower menu bar video audio playlists network and settings is missing so one cannot connect to a media server and view media :  
"
2152,"this app notnever install on my androidit ask to permit drawing over other appbustard app :  
"
2153,"works with most videos 810     :  
"
2154,"m4a files are detected with a lower length 3 minute songs are shown to be 30 seconds long with a progress bar as long too the complete song plays but going to a particular part in the track is not possible :  
"
2155,"really great but as of late i seem to have lost the ability to cast to my chromecast audio :  
"
2156,"trying to watch a movie but does not show up where i wanr to watch it :  
"
2157,"i use video editor to edit videos but when i try to play edit videos on vlc its glitch and dark with 5 sec and i try other video player and video runs smoothly :  
"
2158,"im not sure why all of the sudden playing music is not that good anymore whenever i click a certain song it does not play also when playing videos on my playlist video will stop after it end and doesnt play the next video i think this started after my update hope youll find a fix for this been playing music in google play now :  
"
2159,"as far as apps go this is the most fit for purpose media player the ui and features are so intuitive and well thought out that i cant recommend it enough on more than one occasion ive thought i wonder if i can with vlc and not only is the feature where i expect to find it it has extra goodies i have never seen before like fast forwarding through a video by dragging anywhere left to right or adjusting volume by dragging up or down i wish youtube would copy that control scheme :  
"
2160,"its not much its not a great app the only advantage i have seen that it can support any formats of videos but the auto scan thing is hateful its taking so much time for scanning its a great lagg to the app the subtitle we download cant take it as a file it will be only encoded with the video we cant see the subtitles files i recommend mxplayer its a great app have a good collection of subtitles etc its far more better than this :  
"
2161,"cant adjust playback speed     :  
"
2162,"its a good app its way better than to watch videos on gallery or photos its also a 2 in 1 application on whereby you can listen and watch videos on but pixels are a problem 1080p mkv glitch and its hard to watch :  
"
2163,"it is still good program but can you please make this autoscroll of titles in menu go away or make it optional at least i hate this feature and it makes finding everything impossible especially on mobile screen please make it stop :  
"
2164,"please do add feature to block amr and such form of files from all audio files list playing a call recording or other types of voice recorder file is an irritation while enjoying music :  
"
2165,"it works perfectly but the only problem is that the video thumbnails keeps disappearing until i clear vlc data before i can see the video thumbnails :  
"
2166,"best player i have in my computer and on my phone plays all kind of format if it cannot play it no other software or applications can :  
"
2167,"very unreliable doesnt support playback or resume from where you stopped and also freezes :  
"
2168,"ive been using this on android for almost a couple years and have finally given up on it the dealbreaker is the sound is too quiet at max volume in a quiet room i sometimes still cant understand what characters are saying the 200 volume setting does nothing on my tablet volume booster apps stopped working with vlc other apps are loud and clear another very annoying bit is the app gives priority to a files title tag not the file name itself and to change a title tag on an mkv file requires spending a couple minutes per video stripping the tag on the computer its doable but a very irritating hassle ive switched over to mx player and neither of these things are issues mx player is really very great for me so far :  
"
2169,"i had an old samsung whos music app would instantly play the last played song when i got back in my van and it connected to bluetooth this app doesnt do that unless its only been a short time that ive been away a lot of my music has also been placed in one folder i have greendays greatest hits in that album as well are red hot chilli peppers gnrs and lenny kravitz to name a few the same is the case when i go in a specific bands greatest hits album all artists greatest hits are there :  
"
2170,"when i stop an audio file like a 13 hour audiobook it will not start where it stopped instead it starts back at the beginning meaning i have to remember the exact time i left off and then manually drag the bar to the right time so inconvenient there is also no forwardbackward 10 or 30 control buttons :  
"
2171,"could be a great app but there are a few glaring and very important issues first you cannot rename artistsalbumssongs they go by metadata which is incorrect in nearly all situations second it seems to be crash prone with no apparent reasons i can pinpoint or replicate third and most important to me is playback is wrong in the begining of songs either the first 10th to half second of the track gets skipped past or it gets moved forward ie the first 10th to half second plays on top of what should be that amount of time later :  
"
2172,"i used to love this app but now it frustrates me whenever i rotate my screen the video that im watching will jump back to the beginning if the video was part of a playlist it will not continue to go through the playlist after rotating the screen i emailed the developers havent heard anything back yet hopefully they release a fix soon :  
"
2173,"vlc is the premier audiovideo app for mobile update 311 however was a huge misstep the app functionally no longer works reliably the autoparse feature only seems to find the files its in the mood to find playlists are hopelessly broken etc i have been forced to revert to an older version always a last resort and never a good option please repair this iconic application so we can all get on with our lives nothing else compares to a working version  :  
"
2174,"gets stuck in android auto when playing a playlist which contains video as audio songs actually its not even a video just m4a container which is really annoying and potentially dangerous when playing a playlist during driving bc it doesnt respond it also randomly deleted my playlists :  
"
